// Castle Fireworks
// Level 5-2
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 22
// Target Score: 0

@450,500,430,100,-5,-5,3,3000@

@380,505,390,75,5,-5,4,3000@

@350,500,370,75,5,-5,5,4000@

@250,505,240,50,-5,-5,1,3000@

@400,505,420,25,5,-5,6,3000@

@410,505,400,100,-5,-5,6,4000@

@400,425,420,100,5,-5,5,3000@

@200,500,180,75,-5,-5,2,4000@

@300,450,280,80,-5,-5,1,1000@

@240,500,250,80,5,-5,3,3000@

@360,500,370,90,5,-5,3,3000@

@250,500,260,100,5,-5,4,4000@

@390,505,370,90,-5,-5,5,2000@

@400,500,420,80,5,-5,2,2000@

@400,500,380,75,-5,-5,4,2000@

@380,500,400,50,5,-5,5,3000@

@200,450,180,80,-5,-5,6,1000@

@240,500,250,80,5,-5,3,4000@

@560,500,570,100,5,-5,1,2000@

@320,500,340,90,5,-5,4,3000@

@290,505,270,75,-5,-5,6,2000@
